id_compra;cliente;producto;categoria;precio;fecha_compra
24;Carlos Guerrero García;Agua Brisa con gas;Bebidas;9496.74;2025-07-05
25;Yuri Janneth Castro;Lavaloza Axion;Limpieza;7953.54;2025-07-18
26;Guillermo Julio González Escobar;Trigo Integral;Granos;26771.13;2024-10-28
27;Rosa Naranjo;Avena;Granos;9416.64;2024-11-17
28;Ángel Trujillo Duarte;Papel Higiénico Familia;Limpieza;22916.39;2024-11-05
29;Carlos Alfonso Ruiz Garzón;Trigo Integral;Granos;12135.9;2024-12-10
30;Claudia Bustos;Toallas de Cocina Scott;Limpieza;4545.46;2025-09-13
31;Darwin Rojas Pardo;Fríjoles Diana;Alimentos;6279.56;2024-10-04
32;Orlando Carvajal Quintero;Desinfectante Fabuloso;Limpieza;18699.45;2025-08-14
33;Camilo Orlando Pérez Betancur;Trigo Integral;Granos;18684.88;2024-12-15
34;Lorena Herrera Mesa;Fríjol Cargamanto;Granos;29190.19;2024-11-27
35;María Luz Ávila García;Fríjoles Diana;Alimentos;21087.89;2025-08-19
36;Edith Dolores Calderón Bolívar;Gaseosa Postobón Manzana;Bebidas;5123.46;2025-02-16
37;Antonio Marlon Fernández;Avena;Granos;14704.26;2025-01-16
38;Camilo Andrés Ramírez Sánchez;Jugo Hit;Bebidas;16215.09;2024-11-28
39;Gladys Ibarra Pabón;Azúcar Manuelita;Alimentos;25566.74;2025-03-02
40;Andrea Consuelo Chacón;Suavitel;Limpieza;12469.59;2025-02-04
41;Esther Julieth Posada;Jabón Rey;Limpieza;18770.45;2024-12-21
42;Fernanda Angie Figueroa;Maíz Blanco;Granos;5132.3;2025-08-06
43;Inés Adiela Hurtado;Jugo de Guayaba del Valle;Bebidas;8704.66;2025-06-24
44;Angélica Danna López;Detergente Ariel;Limpieza;4398.3;2025-08-21
45;Yulieth Palacios;Garbanzo;Granos;29383.57;2025-08-23
46;Martha Marcela Castaño Velásquez;Suavitel;Limpieza;20473.02;2025-04-11
47;Cecilia Juliana Rangel;Papel Higiénico Familia;Limpieza;16774.87;2025-02-25
48;Eduardo Vergara;Lentejas Ramo;Granos;28009.58;2025-09-10
49;José Jorge Roa Triana;Papel Higiénico Familia;Limpieza;13171.78;2025-09-23
50;Libia Lizeth Martínez Rojas;Té Lipton Durazno;Bebidas;27189.19;2025-05-12
51;Adolfo Kevin Orozco;Garbanzo;Granos;8941.36;2024-11-12
52;Judith Guerra Beltrán;Sal Refisal;Alimentos;2588.96;2025-09-25
53;Felipe Mejía Caicedo;Cloro Clorox;Limpieza;2201.34;2024-12-13
54;Julio Guerrero Rodríguez;Aceite Premier;Alimentos;3887.21;2025-09-24
55;Carlos Arboleda Silva;Sal Refisal;Alimentos;3984.01;2025-03-08
56;Humberto Guerrero Castro;Papel Higiénico Familia;Limpieza;20731.38;2025-05-30
57;Jhon Ríos Quintero;Suavitel;Limpieza;22253.87;2025-08-01
58;Edwin Arango Mendoza;Lentejas Ramo;Granos;23969.34;2024-11-05
59;Andrea Vargas González;Lentejas Ramo;Granos;4641.12;2025-01-08
60;Camilo Enrique Salazar;Maíz Pira;Granos;13860.2;2025-02-04
61;Karina Ángela Ávila Salazar;Maíz Blanco;Granos;20854.21;2025-07-10
62;César Rojas Nieto;Arroz Roa;Alimentos;13273.4;2025-08-11
63;Nury Claudia Mendoza Marín;Agua Cristal;Bebidas;8962.38;2025-07-17
64;Inés Nancy Parra;Toallas de Cocina Scott;Limpieza;5925.1;2025-05-21
65;Alexandra Mendoza;Papel Higiénico Familia;Limpieza;14953.59;2025-08-11
66;Wilson Edwar Herrera;Harina Pan;Alimentos;24624.62;2024-11-24
67;Elizabeth Patricia Cardozo;Arroz Roa;Alimentos;20260.06;2025-08-17
68;Joaquín Vargas Carvajal;Fríjoles Diana;Alimentos;27938.28;2025-02-03
69;Elcy Castaño Cardona;Suavitel;Limpieza;13379.59;2024-11-13
70;Roger Luis Hernández Sánchez;Lentejas Ramo;Granos;26210.21;2025-08-23
71;Adriana Paola Molano Vélez;Lentejas La Constancia;Alimentos;12611.25;2025-02-19
72;Armando Jeisson Córdoba;Fríjol Cargamanto;Granos;27942.51;2024-12-08
73;María Herrera;Fríjol Cargamanto;Granos;13844.21;2024-12-21
74;Lucía Martínez;Avena;Granos;7317.14;2025-01-02
75;Santiago Domingo Páez Uribe;Jabón Rey;Limpieza;18217.05;2025-08-16
76;Lina María Ríos Jaimes;Sal Refisal;Alimentos;3600.63;2025-05-09
77;Roberto Fabio Burbano Daza;Avena;Granos;3592.63;2025-09-24
78;Sandra Galeano;Lentejas La Constancia;Alimentos;3918.6;2025-01-26
79;Yesid Padilla Espinosa;Aceite Premier;Alimentos;13305.72;2025-06-04
80;Felipe Mosquera Pérez;Jabón Rey;Limpieza;19342.68;2024-12-25
81;Claudia Pérez;Maíz Pira;Granos;28171.78;2025-04-22
82;Concepción Isabel Castañeda Medina;Lavaloza Axion;Limpieza;8683.21;2025-06-15
83;Rodolfo Pablo Beltrán;Avena;Granos;20807.33;2024-11-17
84;Fabio Ariel Valencia;Té Lipton Durazno;Bebidas;10852.96;2025-08-03
85;María Esperanza Sierra Gutiérrez;Arroz Roa;Alimentos;14831.99;2025-02-12
86;Andrés Felipe Aguirre;Fríjoles Diana;Alimentos;17053.76;2025-02-10
87;Paola Jennifer Gutiérrez;Jugo Hit;Bebidas;28131.26;2025-09-02
88;María Amaya;Aceite Premier;Alimentos;12346.76;2025-07-20
89;Stiven Víctor Ibarra;Toallas de Cocina Scott;Limpieza;25344.86;2025-06-10
90;Martín Luis Lara;Coca-Cola;Bebidas;20700.17;2025-01-03
91;Amalia Carolina Espitia López;Agua Cristal;Bebidas;28290.04;2025-01-01
92;Cristina Ana Pérez;Papel Higiénico Familia;Limpieza;5232.0;2025-02-18
93;Manuel García;Lentejas La Constancia;Alimentos;9625.75;2024-10-21
94;Mery Piedad Palacios;Lavaloza Axion;Limpieza;7700.72;2024-12-17
95;Ana Ospina;Té Lipton Durazno;Bebidas;9031.4;2025-05-11
96;Olga Moreno García;Fríjoles Diana;Alimentos;19759.96;2025-02-09
97;Alirio Murillo;Coca-Cola;Bebidas;2099.28;2025-03-06
98;Edith Blanca Cifuentes;Papel Higiénico Familia;Limpieza;6524.3;2025-01-14
99;Luz Fernanda Sepúlveda;Trigo Integral;Granos;17705.39;2025-04-10
100;Liseth Julieth Mora Torres;Fríjoles Diana;Alimentos;28461.43;2024-12-16
101;Harvey Forero Correa;Jabón Rey;Limpieza;25368.66;2025-03-25
102;Nidia Espinosa Guevara;Desinfectante Fabuloso;Limpieza;5568.47;2025-01-03
103;Rosa Marina González Rodríguez;Gaseosa Postobón Manzana;Bebidas;27171.48;2025-09-04
104;Fernando Chacón Henao;Sal Refisal;Alimentos;7882.14;2025-05-01
105;Germán Montoya;Detergente Ariel;Limpieza;11903.0;2025-09-05
106;Juan Gutiérrez Vallejo;Avena;Granos;27921.39;2025-09-22
107;Patricia Salcedo Álvarez;Suavitel;Limpieza;29333.77;2025-04-05
108;Andrés Solano Triana;Desinfectante Fabuloso;Limpieza;2694.02;2025-09-06
109;María Herrera;Agua Brisa con gas;Bebidas;24462.58;2025-03-22
110;Bertha Fernanda Calderón;Papel Higiénico Familia;Limpieza;6457.54;2024-12-04
111;Alicia Gaviria Andrade;Atún Van Camps;Alimentos;26420.67;2025-05-22
112;María María González;Lentejas Ramo;Granos;7588.04;2024-12-20
113;Claudia María Bernal Ríos;Maíz Pira;Granos;10545.34;2024-11-08
114;María Flor Delgado;Cloro Clorox;Limpieza;2662.6;2025-03-01
115;Mercedes Viviana Molina;Desinfectante Fabuloso;Limpieza;11191.33;2025-01-26
116;Denis Salazar Villamizar;Azúcar Manuelita;Alimentos;11832.09;2025-07-29
117;Jhonatan Herrera Ocampo;Maíz Pira;Granos;28298.64;2024-10-23
118;Alexandra Cecilia Bernal;Azúcar Manuelita;Alimentos;6999.9;2025-05-15
119;Ester Rocío Vargas;Coca-Cola;Bebidas;5035.27;2025-09-10
120;Juan Rodríguez;Maíz Pira;Granos;22399.26;2025-05-20
121;Luis Quintero Arias;Agua Brisa con gas;Bebidas;18973.85;2024-11-26
122;Javier Torres Sierra;Atún Van Camps;Alimentos;27186.13;2024-10-05
123;Karina Anaya Cortés;Papel Higiénico Familia;Limpieza;3242.82;2024-11-11
124;Enrique Alonso Valencia;Maíz Blanco;Granos;16557.77;2025-06-26
125;Francisco Stiven Hernández;Lavaloza Axion;Limpieza;14076.33;2025-06-16
126;María Aguilar Patiño;Gaseosa Postobón Manzana;Bebidas;20574.85;2024-12-09
127;Camilo Jeison Molina;Azúcar Manuelita;Alimentos;16199.43;2025-09-19
128;Carlos Mesa Hernández;Maíz Pira;Granos;13267.21;2025-06-04
129;Juan Velásquez Bonilla;Jugo Hit;Bebidas;7371.52;2024-11-20
130;Rosa Vargas;Avena;Granos;19234.42;2025-07-13
131;Enrique Hoyos Posada;Agua Brisa con gas;Bebidas;17342.24;2025-04-01
132;Santiago Muñoz;Azúcar Manuelita;Alimentos;10033.58;2025-08-15
133;Sofía Andrea Rodríguez Flórez;Maíz Pira;Granos;15019.67;2025-04-01
134;Graciela Judith Aguirre Rodríguez;Lentejas Ramo;Granos;16312.87;2025-05-29
135;Esteban Steven Ramírez;Detergente Ariel;Limpieza;9946.02;2025-02-07
136;Luisa Carrillo;Agua Cristal;Bebidas;24915.86;2025-03-20
137;Olga Moreno;Papel Higiénico Familia;Limpieza;8289.94;2025-07-18
138;Eduardo Diego Sánchez Molina;Suavitel;Limpieza;2683.91;2024-10-29
139;María Muñoz;Toallas de Cocina Scott;Limpieza;19115.67;2025-04-12
140;Daniela Ayala;Harina Pan;Alimentos;13604.35;2025-08-27
141;Sebastián León Osorio;Desinfectante Fabuloso;Limpieza;15842.56;2025-02-27
142;Diego Alejandro Vargas;Suavitel;Limpieza;20369.62;2025-08-11
143;John Jairo Fernández Cardozo;Fríjoles Diana;Alimentos;23795.77;2025-04-24
144;Luz Yepes;Suavitel;Limpieza;24515.08;2025-01-03
145;Mireya Luna Jiménez;Maíz Blanco;Granos;17607.36;2025-06-25
146;Jesús Andrés Romero;Harina Pan;Alimentos;5733.49;2025-09-11
147;Eduardo García Bedoya;Maíz Pira;Granos;28601.11;2024-12-30
148;Elizabeth Hernández Córdoba;Trigo Integral;Granos;25255.94;2025-04-26
149;Felix Alejandro Sánchez Orjuela;Avena;Granos;22822.35;2025-05-06
150;Gilberto Camacho;Arveja Verde;Granos;9257.36;2025-08-09
151;Fernando Maldonado;Papel Higiénico Familia;Limpieza;23442.78;2024-12-10
152;María Lida Duque Vega;Lentejas Ramo;Granos;9688.73;2025-04-15
153;Maribel Karen Rodríguez;Azúcar Manuelita;Alimentos;8565.82;2025-08-12
154;Sonia Marleny Mena;Gaseosa Postobón Manzana;Bebidas;27004.75;2025-05-20
155;Carlos John Paz;Lentejas La Constancia;Alimentos;6223.26;2025-10-01
156;Juan Carvajal;Avena;Granos;21779.74;2025-03-01
157;Alexander Orozco;Atún Van Camps;Alimentos;13412.78;2025-07-19
158;Humberto Armando Rodríguez Arteaga;Trigo Integral;Granos;3743.44;2025-01-15
159;Mauricio Humberto Bustamante;Trigo Integral;Granos;27335.48;2025-04-24
160;Lina Galindo;Atún Van Camps;Alimentos;15355.43;2025-07-20
161;Segundo Álvaro Vargas;Jugo de Guayaba del Valle;Bebidas;23097.3;2025-04-10
162;María Laura Arteaga Beltrán;Lentejas Ramo;Granos;15670.43;2025-04-11
163;Maritza Mora Ariza;Agua Brisa con gas;Bebidas;15597.98;2024-11-15
164;Emilio Milton Ortiz Castillo;Maíz Pira;Granos;20728.46;2025-06-08
165;Luis Alejandro Martínez Solano;Avena;Granos;25534.16;2025-02-11
166;Alejandro Gerardo Pulido;Jabón Rey;Limpieza;27394.01;2025-02-24
167;Yesid Pérez Salas;Fríjoles Diana;Alimentos;19996.99;2025-04-23
168;Carlos Carmona;Toallas de Cocina Scott;Limpieza;7088.41;2025-04-07
169;Alexander García Sánchez;Agua Brisa con gas;Bebidas;11165.87;2025-06-19
170;Maribel Catalina Torres;Maíz Pira;Granos;11450.02;2025-06-23
171;Magnolia Sánchez Álvarez;Fríjol Cargamanto;Granos;23056.28;2025-01-18
172;Camilo Fredy Ortiz Parra;Fríjol Cargamanto;Granos;25377.51;2025-05-02
173;Liliana Barreto Sánchez;Maíz Blanco;Granos;22972.68;2024-12-24
174;Teresa Johana Gutiérrez;Sal Refisal;Alimentos;8278.22;2025-01-28
175;Ricardo Javier Guerrero Ruiz;Arroz Roa;Alimentos;23118.53;2025-05-09
176;Olga Elizabeth Gamboa Cárdenas;Cloro Clorox;Limpieza;25498.41;2025-05-17
177;María Camila Tovar Salamanca;Cloro Clorox;Limpieza;5534.19;2024-12-22
178;Humberto Betancur;Aceite Premier;Alimentos;15020.95;2025-07-07
179;Lucía Martínez Rodríguez;Gaseosa Postobón Manzana;Bebidas;6698.1;2025-05-13
180;María Rodríguez Mora;Lentejas La Constancia;Alimentos;29012.18;2025-01-02
181;Pablo Gutiérrez Rivera;Arroz Roa;Alimentos;28008.84;2024-10-17
182;Guillermo Daniel Ospina;Trigo Integral;Granos;28361.18;2024-12-17
183;Sonia Pineda Campo;Detergente Ariel;Limpieza;18578.74;2025-01-26
184;Ernesto Barrios Durán;Detergente Ariel;Limpieza;21521.4;2024-10-26
185;Elizabeth Alejandra Arias;Agua Cristal;Bebidas;24294.36;2025-10-01
186;Paola Medina Bautista;Sal Refisal;Alimentos;16916.87;2025-03-22
187;Edward Rodríguez Torres;Agua Cristal;Bebidas;16166.9;2025-02-04
188;Alfredo Quintero Ortega;Coca-Cola;Bebidas;25788.12;2025-01-10
189;Jessica Yaneth Rentería Arias;Garbanzo;Granos;14138.66;2025-01-06
190;Luz García;Té Lipton Durazno;Bebidas;21804.64;2024-12-21
191;Margarita Ortiz Perea;Avena;Granos;22546.27;2025-02-02
192;Héctor Santiago Morales Moreno;Té Lipton Durazno;Bebidas;15016.47;2025-03-08
193;Mery Marcela Ramírez;Gaseosa Postobón Manzana;Bebidas;25847.97;2025-01-27
194;Rosa Leidy Campo Rodríguez;Azúcar Manuelita;Alimentos;26685.67;2025-01-12
195;Alberto Ruiz Vargas;Toallas de Cocina Scott;Limpieza;17955.79;2025-01-15
196;Fanny Ramírez Villegas;Maíz Pira;Granos;2803.6;2025-02-26
197;Fernando Fernando Bonilla;Jugo Hit;Bebidas;15651.4;2025-07-08
198;Luis Fabio Lozano Chávez;Jugo de Guayaba del Valle;Bebidas;11529.49;2025-01-30
199;Ángel Osorio Ortega;Coca-Cola;Bebidas;16465.56;2025-06-15
200;Elkin Carlos Sarmiento;Detergente Ariel;Limpieza;8757.97;2025-02-20
201;Carlos David Barrios;Arveja Verde;Granos;17544.93;2025-03-25
202;Mariana Alexandra Bedoya;Toallas de Cocina Scott;Limpieza;20085.28;2025-09-09
203;José Camilo Gaitán Suárez;Arveja Verde;Granos;24202.12;2025-06-10
204;Tania María González Betancur;Azúcar Manuelita;Alimentos;8204.7;2025-08-16
205;Lizeth Yurani Díaz;Papel Higiénico Familia;Limpieza;20590.88;2024-10-12
206;Paola Yésica Contreras Loaiza;Té Lipton Durazno;Bebidas;17497.24;2024-12-19
207;Esperanza Hurtado;Agua Brisa con gas;Bebidas;29905.68;2024-10-26
208;Eliecer Bonilla;Gaseosa Postobón Manzana;Bebidas;21679.94;2025-02-24
209;Gabriel Calderón Fajardo;Jugo de Guayaba del Valle;Bebidas;9039.3;2025-09-15
210;Manuel Cortés;Aceite Premier;Alimentos;10835.34;2025-02-14
211;Diana Sandra Barrios;Cloro Clorox;Limpieza;8058.77;2025-04-10
212;Leonardo Arturo Herrera;Fríjol Cargamanto;Granos;22288.38;2025-06-24
213;Carlos Esteban Luna López;Agua Cristal;Bebidas;25313.59;2024-10-04
214;Juan Ramírez;Leche Alquería;Bebidas;12104.67;2025-04-24
215;Juan Ochoa;Coca-Cola;Bebidas;21824.52;2024-11-05
216;Javier Ricardo Duarte Rincón;Papel Higiénico Familia;Limpieza;3274.44;2025-06-24
217;Edwin Bonilla Rodríguez;Azúcar Manuelita;Alimentos;21527.69;2025-01-15
218;Christian Andrés Tovar;Toallas de Cocina Scott;Limpieza;4872.45;2025-08-13
219;Nataly Shirley Rodríguez Orjuela;Azúcar Manuelita;Alimentos;15143.11;2025-02-17
220;Manuel Diego Burbano Martínez;Maíz Pira;Granos;7162.18;2025-01-13
221;Mario Nicolás Ortega;Azúcar Manuelita;Alimentos;28349.78;2024-12-12
222;Paul Pablo Forero;Garbanzo;Granos;25019.24;2024-12-20
223;María Suárez Hernández;Arveja Verde;Granos;4074.3;2025-07-23
224;Marcela Jenny Rodríguez Lozano;Lentejas La Constancia;Alimentos;6177.53;2024-12-15
225;Edilberto Pérez Murcia;Agua Cristal;Bebidas;29829.71;2025-01-04
226;Marisol Parra Díaz;Atún Van Camps;Alimentos;18976.89;2025-05-15
227;Felipe Manuel Fajardo Becerra;Desinfectante Fabuloso;Limpieza;14614.41;2025-04-14
228;Edison Jaider Álvarez;Fríjol Cargamanto;Granos;26084.67;2025-07-09
229;Óscar Segundo Rojas;Fríjol Cargamanto;Granos;17921.63;2025-02-21
230;Enrique José Moreno Olaya;Fríjoles Diana;Alimentos;28532.53;2024-11-22
231;Sandra Escobar Valencia;Cloro Clorox;Limpieza;9410.09;2025-04-11
232;Diego John Ramírez Álvarez;Lentejas La Constancia;Alimentos;8716.22;2025-01-12
233;Elizabeth Díaz Salgado;Lentejas La Constancia;Alimentos;2074.92;2025-05-04
234;Jesús Iván García Moreno;Arveja Verde;Granos;10155.26;2025-03-22
235;Eduardo Enrique Rubio;Papel Higiénico Familia;Limpieza;21794.76;2024-12-05
236;Víctor Vargas;Garbanzo;Granos;21246.78;2025-01-28
237;Marcela Murillo;Leche Alquería;Bebidas;13903.89;2024-11-04
238;Mercedes Rodríguez Melo;Suavitel;Limpieza;27435.52;2025-02-05
239;Ana Alejandra Romero;Detergente Ariel;Limpieza;3669.87;2025-09-01
240;Olga Rodríguez Espinosa;Jugo de Guayaba del Valle;Bebidas;14296.3;2025-08-24
241;Álvaro Forero;Fríjol Cargamanto;Granos;21592.54;2024-12-24
242;Yurani Pérez Muñoz;Té Lipton Durazno;Bebidas;14257.25;2025-02-27
243;Mercedes Olga Zambrano Amaya;Atún Van Camps;Alimentos;22566.95;2025-07-27
244;Carmen Benítez López;Coca-Cola;Bebidas;4557.15;2025-01-07
245;Juliana Beatriz Pulido Torres;Azúcar Manuelita;Alimentos;18134.92;2025-04-24
246;Alberto Caro García;Toallas de Cocina Scott;Limpieza;16530.99;2025-09-02
247;Patricia Córdoba Solano;Fríjol Cargamanto;Granos;7081.7;2025-09-20
248;Isabel Miryam Escobar Pérez;Arveja Verde;Granos;29133.55;2025-09-26
249;Dary Molina García;Maíz Pira;Granos;13433.75;2024-11-27
250;Camilo Mesa Cabrera;Agua Cristal;Bebidas;26016.53;2025-06-09
251;Susana Estefanía Ramos;Agua Brisa con gas;Bebidas;21422.86;2024-10-06
252;Elsa Lina Forero;Agua Brisa con gas;Bebidas;24779.85;2025-01-30
253;Yeison Moreno;Harina Pan;Alimentos;4465.67;2025-06-18
254;Johana Ana López;Gaseosa Postobón Manzana;Bebidas;5245.8;2025-03-22
255;Manuel Camilo García;Maíz Blanco;Granos;20414.49;2025-07-23
256;Ester Elsa Ordóñez;Trigo Integral;Granos;3517.71;2025-05-01
257;Farid Martínez Guerrero;Té Lipton Durazno;Bebidas;19511.44;2024-10-31
258;Victoria María Silva;Aceite Premier;Alimentos;9477.57;2025-06-23
259;Dario Ruiz;Papel Higiénico Familia;Limpieza;14267.25;2025-05-03
260;David Barrios Rincón;Garbanzo;Granos;2808.34;2025-03-26
261;Yesenia Nelly Henao;Suavitel;Limpieza;10701.0;2025-02-14
262;José Fernández;Atún Van Camps;Alimentos;4609.86;2025-04-06
263;Julio Palacio Mosquera;Harina Pan;Alimentos;28517.7;2025-04-05
264;Jorge Alberto Rodríguez;Toallas de Cocina Scott;Limpieza;28114.29;2025-02-13
265;Héctor Castaño Monsalve;Jugo de Guayaba del Valle;Bebidas;13633.73;2025-09-19
266;María Mireya Caicedo;Arveja Verde;Granos;8824.47;2024-10-24
267;Mauricio Valencia Barrios;Desinfectante Fabuloso;Limpieza;7337.09;2025-04-27
268;Liliana Viviana Bermúdez;Detergente Ariel;Limpieza;9734.93;2025-03-24
269;Silvio Gómez Agudelo;Maíz Pira;Granos;28158.96;2024-11-17
270;Sergio Romero Ruiz;Coca-Cola;Bebidas;9919.49;2024-12-16
271;José Castillo Herrera;Té Lipton Durazno;Bebidas;26227.3;2024-12-10
272;Julieth Claudia Díaz Pacheco;Arveja Verde;Granos;11663.47;2025-08-31
273;Esteban Vergara;Arveja Verde;Granos;28119.86;2025-05-05
274;José Óscar Hoyos Ariza;Cloro Clorox;Limpieza;18010.33;2025-09-03
275;Constanza Ramírez;Desinfectante Fabuloso;Limpieza;3222.12;2024-12-20
276;Carmen Pérez;Trigo Integral;Granos;12810.21;2024-10-19
277;Margarita Duarte;Toallas de Cocina Scott;Limpieza;29015.08;2025-07-16
278;José Polo Torres;Lavaloza Axion;Limpieza;26351.61;2025-09-15
279;Mercedes Jaramillo Patiño;Garbanzo;Granos;16726.63;2025-02-12
280;José Carlos Castaño;Maíz Blanco;Granos;22228.43;2025-04-23
281;Andrés Hernández;Avena;Granos;4095.19;2025-07-14
282;Camila Soto Peña;Gaseosa Postobón Manzana;Bebidas;19451.26;2024-10-19
283;Freddy Guerrero Martínez;Garbanzo;Granos;25849.43;2025-06-10
284;Antonio Emiro Pérez;Maíz Pira;Granos;19550.38;2024-12-30
285;Ricardo Héctor Muñoz Páez;Maíz Blanco;Granos;19288.86;2025-01-04
286;Jesús Galindo;Papel Higiénico Familia;Limpieza;29927.93;2025-08-30
287;Eduardo Daza Quintero;Atún Van Camps;Alimentos;29393.46;2024-10-23
288;Andrés Romero;Harina Pan;Alimentos;6658.21;2024-11-10
289;Augusto Herrera;Coca-Cola;Bebidas;3287.75;2025-09-04
290;Emiro Edward Torres;Azúcar Manuelita;Alimentos;12036.97;2025-09-05
291;Lizeth Rosa Díaz Guerrero;Avena;Granos;8837.53;2025-01-22
292;Rosa López Serrano;Avena;Granos;6759.54;2025-01-01
293;Eduardo Miguel Serna;Atún Van Camps;Alimentos;19351.89;2025-09-15
294;Víctor Hernández;Toallas de Cocina Scott;Limpieza;27559.21;2025-06-24
295;Hernando Beltrán;Cloro Clorox;Limpieza;14912.2;2025-01-14
296;Mauricio Cáceres Vanegas;Té Lipton Durazno;Bebidas;9149.15;2025-06-30
297;Fernanda Natalia Gutiérrez Bernal;Harina Pan;Alimentos;27233.86;2025-01-24
298;Danilo Fernando Ortiz Loaiza;Detergente Ariel;Limpieza;14368.43;2024-10-25
299;Rosa Ángela Luna;Jugo de Guayaba del Valle;Bebidas;19890.28;2025-04-15
300;Jhon Álvaro Muñoz Rojas;Fríjol Cargamanto;Granos;14791.4;2025-03-23
301;Gloria Bermúdez Espitia;Leche Alquería;Bebidas;29982.46;2025-08-14
302;Eugenia Pilar Núñez García;Garbanzo;Granos;8641.76;2025-01-10
303;María Manrique;Jugo de Guayaba del Valle;Bebidas;29795.38;2025-06-20
304;Juan Jonathan Orozco;Coca-Cola;Bebidas;29382.45;2025-05-25
305;Alfredo Armando Sánchez Luna;Fríjol Cargamanto;Granos;2226.74;2025-06-04
306;Milena Tatiana Tovar;Harina Pan;Alimentos;25319.49;2025-09-05
307;Carlos Gerson Bernal Ramírez;Leche Alquería;Bebidas;18997.82;2024-10-14
308;Alexander Carlos Mejía Niño;Leche Alquería;Bebidas;19825.3;2025-10-02
309;Nury Bolaños;Jugo Hit;Bebidas;19590.95;2025-05-24
310;Luis Herrera;Azúcar Manuelita;Alimentos;24081.09;2025-03-22
311;Miguel Velásquez Muñoz;Sal Refisal;Alimentos;22506.07;2024-10-16
312;Juliana Osorio Gamboa;Azúcar Manuelita;Alimentos;11148.14;2024-11-09
313;Socorro Yaneth Uribe;Avena;Granos;7622.25;2025-06-05
314;Juan Prada;Jugo de Guayaba del Valle;Bebidas;25253.23;2025-05-11
315;Giovanni Tomás Calderón;Té Lipton Durazno;Bebidas;29086.75;2024-11-25
316;Rafael Gómez;Gaseosa Postobón Manzana;Bebidas;24518.51;2025-03-29
317;María Méndez Padilla;Garbanzo;Granos;5941.2;2024-10-03
318;Enrique Ordóñez;Desinfectante Fabuloso;Limpieza;29083.55;2025-09-15
319;Alejandro Luis Buitrago;Agua Cristal;Bebidas;24139.1;2025-06-17
320;Hernán Acosta Gutiérrez;Azúcar Manuelita;Alimentos;17024.02;2025-06-09
321;María Rosa Arias Murcia;Maíz Pira;Granos;20839.19;2025-05-04
322;Daniel Villegas;Agua Brisa con gas;Bebidas;25027.68;2025-09-24
323;Jean Héctor Hernández;Agua Cristal;Bebidas;20895.42;2025-03-28
324;Gloria Vargas Angulo;Maíz Blanco;Granos;19347.31;2025-01-09
325;Luz Patricia Pérez;Leche Alquería;Bebidas;20134.27;2025-02-28
326;Walter Daniel Trujillo;Fríjol Cargamanto;Granos;20178.7;2025-05-18
327;Esteban Rodríguez Jaramillo;Lentejas La Constancia;Alimentos;3269.71;2025-09-23
328;James Carlos Ruiz;Azúcar Manuelita;Alimentos;29885.97;2025-07-10
329;Lucy Paola Montes;Fríjoles Diana;Alimentos;8574.4;2025-07-19
330;Diana Gloria Gómez;Desinfectante Fabuloso;Limpieza;14702.03;2024-10-19
331;Luz Maritza Calderón;Avena;Granos;26791.59;2025-06-13
332;Juan Fernando Ortiz Gómez;Harina Pan;Alimentos;19238.26;2024-10-06
333;Lorena Lorena Jiménez Villa;Coca-Cola;Bebidas;21327.86;2025-02-27
